YEAR,MONTH,DISTRIBUTOR,AREA,RETAILER NAME (R1),ADDRESS R1,REGENCY/DISTRICT,PRODUCT,JENIS PESTISIDA,PACKAGING,VOLUME (L/KG),jenis_pestisida_kode,packaging_kode_angka,regency_kode,product_kode,volume_normalisasi,cluster_hac
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,7.5,3,7,9,1,0.0403225806451612,4
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,250 ML,20.0,1,7,9,2,0.053763440860215,4
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0,1,12,9,2,0.043010752688172,4
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRA TANI (BPK IDIK),Sukabumi,SUKABUMI,ADORE 200 SC,Fungisida,100 ML,15.0,3,3,14,1,0.0483870967741935,1
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRA TANI (BPK IDIK),Sukabumi,SUKABUMI,AVJUNSU 18 EC,Insektisida,250 ML,50.0,1,7,14,2,0.086021505376344,4
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRA TANI (BPK IDIK),Sukabumi,SUKABUMI,AVJUNSU 18 EC,Insektisida,500 ML,20.0,1,12,14,2,0.053763440860215,4
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRA TANI (BPK IDIK),Sukabumi,SUKABUMI,ET-TRAZOL 250 SC,Zat Pengatur Tumbuh,250 ML,10.0,4,7,14,14,0.043010752688172,4
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,MINI JAYA TANI (BPK TARMIN),"Bojen, Pandeglang",PANDEGLANG,ET-UPSTAR 480 SL,Herbisida,1 L,100.0,2,1,9,15,0.1397849462365591,1
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,MASTANI (SONNY),Serang,SERANG,AVJUNSU 18 EC,Insektisida,1 L,30.0,1,1,12,2,0.064516129032258,1
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,BINA TANI (RIFKI),"Sawah Luhur, Serang",SERANG,ADORE 200 SC,Fungisida,100 ML,5.0,3,3,12,1,0.0376344086021505,1
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,BINA TANI (RIFKI),"Sawah Luhur, Serang",SERANG,ADORE 200 SC,Fungisida,250 ML,10.0,3,7,12,1,0.043010752688172,4
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,GAHU MEKAR (BPK DONI),"Bojong, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0,1,12,9,2,0.043010752688172,4
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,RIZKI TANI (BPK DEDE),"Bayah, Lebak",LEBAK,BALTIKO 68/2 WP,Insektisida,100 GR,2.5,1,2,8,3,0.0349462365591397,1
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,SRI MULYA TANI (BPK TARNO),"Cikeusik, Pandeglang Selatan",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,100 GR,5.0,1,2,9,19,0.0376344086021505,1
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,SAHABAT TANI (H. UDIN),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,250 ML,10.0,1,7,9,2,0.043010752688172,4
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,SAHABAT TANI (H. UDIN),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0,1,12,9,2,0.043010752688172,4
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,SAHABAT TANI (H. UDIN),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,1 L,10.0,1,1,9,2,0.043010752688172,1
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,SINAR JAYA TANI (BPK ADUL),Sukabumi,SUKABUMI,ADORE 200 SC,Fungisida,100 ML,5.0,3,3,14,1,0.0376344086021505,1
2023.0,1.0,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRA TANI (BPK YANI),"Ciruas, Serang",SERANG,TRAVERSA 20/60 WG,Insektisida,100 GR,10.0,1,2,12,19,0.043010752688172,1
